firstName;lastName;addressLine1;addressLine2;addressLine3;state;pinCode;phone1;phone2;email
James;Butt;John B Jr;6649 N Blue Gum St;New Orleans;LA;70116;504-845-1427;504-621-8927;jbutt@gmail.com
Josephine;Darakjy;Jeffrey A Esq;4 B Blue Ridge Blvd;Brighton;MI;48116;810-374-9840;810-292-9388;josephine_darakjy@darakjy.org
Art;Venere;James L Cpa;8 W Cerritos Ave #54;Bridgeport;NJ;8014;856-264-4130;856-636-8749;art@venere.org
Lenna;Paprocki;639 Main St;Anchorage;Anchorage;AK;99501;907-385-4412;907-921-2010;simona@morasca.com
Donette;Foller;34 Center St;Hamilton;Butler;OH;45011;513-570-1893;513-549-4561;kris@gmail.com
Simona;Morasca;Ross E Esq;3 Mcauley Dr;Ashland;IL;44805;419-800-6759;419-503-2484;minna_amigon@yahoo.com
Mitsue;Tollner;7 Eads St;Chicago;Cook;CA;60632;773-573-6914;773-924-8565;calbares@gmail.com
Leota;Dilliard;7 W Jackson Blvd;San Jose;Santa Clara;SD;95111;408-752-3500;408-813-1105;meaghan@hotmail.com
Sage;Wieser;5 Boston Ave #88;Sioux Falls;Minnehaha;NY;57105;605-414-2147;605-794-4895;willard@hotmail.com
Kris;Marrier;Christopher A Esq;228 Runamuck Pl #2808;Baltimore;CA;21224;410-804-4694;410-655-8723;mroyster@royster.com
Minna;Amigon;James J Esq;2371 Jerrold Ave;Kulpsville;OH;19443;215-422-8694;215-874-1229;allene_iturbide@cox.net
Abel;Maclead;37275 St  Rt 17m M;Middle Island;Suffolk;AZ;11953;631-335-3414;631-677-3675;ezekiel@chui.com
Kiley;Caldarera;25 E 75th St #69;Los Angeles;Los Angeles;WI;90034;310-498-5651;310-254-3084;bfigeroa@aol.com
Graciela;Ruta;98 Connecticut Ave Nw;Chagrin Falls;Geauga;MI;44023;440-780-8425;440-579-7763;ammie@corrio.com
Cammy;Albares;Michael Esq;56 E Morehead St;Laredo;IL;78045;956-841-7216;956-537-6195;albina@glick.com
Mattie;Poquette;73 State Road 434 E;Phoenix;Maricopa;PA;85013;602-277-4385;602-953-6360;solange@shinko.com
Meaghan;Garufi;Wilbur Esq;69734 E Carrillo St;Mc Minnville;CA;37110;931-235-7959;931-313-9635;fsaylors@saylors.org
Gladys;Rim;322 New Horizon Blvd;Milwaukee;Milwaukee;NJ;53207;414-661-9598;414-377-2880;kanisha_waycott@yahoo.com
Yuki;Whobrey;1 State Route 27;Taylor;Wayne;KS;48180;313-288-7937;313-341-4470;karl_klonowski@yahoo.com
Fletcher;Flosi;394 Manchester Blvd;Rockford;Winnebago;NY;61109;815-828-2147;815-426-5657;deeanna_juhas@gmail.com
Bette;Nicka;6 S 33rd St;Aston;Delaware;NM;19014;610-545-3615;610-492-4643;jamal@vanausdal.org
Veronika;Inouye;6 Greenleaf Ave;San Jose;Santa Clara;NJ;95111;408-540-1785;408-813-4592;maurine_yglesias@yglesias.com
Willard;Kolmetz;Donald R Esq;618 W Yakima Ave;Irving;NY;75062;972-896-4882;972-303-9197;ilene.eroman@hotmail.com
Maryann;Royster;Peter L Esq;74 S Westgate St;Albany;NY;12204;518-448-8982;518-966-7987;brhym@rhym.com
Alisha;Slusarski;3273 State St;Middlesex;Middlesex;CA;8846;732-658-3154;732-635-3453;moon@yahoo.com
Allene;Iturbide;David Esq;1 Central Ave;Stevens Point;TX;54481;715-530-9863;715-662-6764;lettie_isenhower@yahoo.com
Chanel;Caudy;86 Nw 66th St #8673;Shawnee;Johnson;KS;66218;913-388-2079;913-899-1103;lai.gato@gato.org
Ezekiel;Chui;Donald C Esq;2 Cedar Ave #84;Easton;OR;21601;410-235-8738;410-669-1642;stephen_emigh@hotmail.com
Willow;Kusko;90991 Thorburn Ave;New York;New York;KS;10011;212-582-4976;212-934-5167;tshields@gmail.com
Bernardo;Figeroa;Richard Cpa;386 9th Ave N;Conroe;AK;77301;936-597-3614;936-336-3951;danica_bruschke@gmail.com
Ammie;Corrio;Barry S;74874 Atlantic Ave;Columbus;FL;43215;614-648-3265;614-801-9788;wilda@cox.net
Francine;Vocelka;366 South Dr;Las Cruces;Dona Ana;AK;88011;505-977-3911;505-335-5293;natalie.fern@hotmail.com
Ernie;Stenseth;45 E Liberty St;Ridgefield Park;Bergen;MA;7660;201-709-6245;201-387-9093;jshin@shin.com
Albina;Glick;Anthony D;4 Ralph Ct;Dunellen;WI;8812;732-782-6701;732-924-7882;rolland@cox.net
Alishia;Sergi;2742 Distribution Way;New York;New York;PA;10025;212-860-1579;212-753-2740;shawna_palaspas@palaspas.org
Solange;Shinko;Ronald A;426 Wolf St;Metairie;NY;70002;504-265-8174;504-979-9175;scarlet.cartan@yahoo.com
Jose;Stockham;128 Bransten Rd;New York;New York;TN;10011;212-675-8570;212-569-4233;xuan@gmail.com
Rozella;Ostrosky;17 Morena Blvd;Camarillo;Ventura;SC;93012;805-832-6163;805-609-1531;lucina_lary@cox.net
Valentine;Gillian;775 W 17th St;San Antonio;Bexar;PA;78204;210-812-9597;210-300-6244;hpaulas@gmail.com
Kati;Rulapaugh;6980 Dorsett Rd;Abilene;Dickinson;NY;67410;785-463-7829;785-219-7724;kimbery_madarang@cox.net
Youlanda;Schemmer;2881 Lewis Rd;Prineville;Crook;PA;97754;541-548-8197;541-993-2611;marti.maybury@yahoo.com
Dyan;Oldroyd;7219 Woodfield Rd;Overland Park;Johnson;CA;66204;913-413-4604;913-645-8918;nieves_gotter@gmail.com
Roxane;Campain;1048 Main St;Fairbanks;Fairbanks North Star;RI;99708;907-231-4722;907-335-6568;vklimek@klimek.org
Lavera;Perin;678 3rd Ave;Miami;Miami-Dade;RI;33196;305-606-7291;305-995-2078;audra@kohnert.com
Erick;Ferencz;20 S Babcock St;Fairbanks;Fairbanks North Star;TX;99712;907-741-1044;907-227-6777;fjillson@aol.com
Fatima;Saylors;James D Esq;2 Lighthouse Ave;Hopkins;CO;55343;952-479-2375;952-768-2416;chau@gmail.com
Jina;Briddick;38938 Park Blvd;Boston;Suffolk;NY;2128;617-399-5124;617-997-5771;carissa.batman@yahoo.com
